Hospital Name,Details Link,Address,City/Area,Description,Contact Info,Photos,Telephone,Email,Street Address
Horus Specialist Hospital,https://healtheg.com/ar/Item/39379/--مستشفى-حورس-التخصصي,"Hurghada Department, Red Sea",The Red Sea-Al-Jouna,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01126666499,,"Hurghada Department, Red Sea"
Ajyal Hospital for the treatment of infertility for the couple and microscopic injection,https://healtheg.com/ar/Item/19/-مستشفى-أجيال-لعلاج-العقم-للزوجين-والحقن-المجهري,"2 Al -Farid Layan St., branched from the Roman Camp St. and Syria St., Rushdie, Alexandria",Alexandria-Rashidi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035234235,,"2 Al -Farid Layan St., branched from the Roman Camp St. and Syria St., Rushdie, Alexandria"
Al -Nahar Specialist Hospital,https://healtheg.com/ar/Item/53640/-مستشفي-النهار-التخصصي,Ahmed Al -Zumar Street - Al -Wafa and Hope - Nasr City - Cairo,Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,02 22740317,,Ahmed Al -Zumar Street - Al -Wafa and Hope - Nasr City - Cairo
The elite creativity of psychological consultations,https://healtheg.com/ar/Item/292/ابداع-النخبة-للاستشارات-النفسية,"69 Othman Buildings - Mustafa Al -Nahhas St., in front of Al -Muzal Supermarket, Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224035081 - 01224030027,,"69 Othman Buildings - Mustafa Al -Nahhas St., in front of Al -Muzal Supermarket, Nasr City, Cairo"
October Clinic,https://healtheg.com/ar/Item/1561/اكتوبر-كلينيك,"Abdel Moneim Riad - Abdel Khaleq Tharwat, First October 6 Department, October 6, Giza, Egypt",Giza-October,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0238362724 - 0238362725,,"Abdel Moneim Riad - Abdel Khaleq Tharwat, First October 6 Department, October 6, Giza, Egypt"
Faith for medical headphones,https://healtheg.com/ar/Item/1614/الايمان-للسماعات-الطبية,"37 Al -Galaa St., Victoria, Egypt",Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,+201287186443,,"37 Al -Galaa St., Victoria, Egypt"
Ultra Medeserf - UMS,https://healtheg.com/ar/Item/1157/الترا-ميدسيرف---يو-ام-اس,"12 Ramo Gardens Buildings - Omar Bin Al -Khattab St. - Role 2, in front of the Stars Center Mall, Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0223054396,,"12 Ramo Gardens Buildings - Omar Bin Al -Khattab St. - Role 2, in front of the Stars Center Mall, Nasr City, Cairo"
Al Jazeera Polly Clinic,https://healtheg.com/ar/Item/259/الجزيرة-بولى-كلينك,"3 Ibn Al -Nabih St., behind the Umm Kulthum Hotel and Zamalek, Cairo",Cairo-Zamalek,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0227373522 - 0227373544 - 01020004133,,"3 Ibn Al -Nabih St., behind the Umm Kulthum Hotel and Zamalek, Cairo"
The Specialized Association for the improvement of family planning services,https://healtheg.com/ar/Item/1587/الجمعية-التخصصية-لتحسين-خدمات-تنظيم-الاسرة,"19 Al -Tadiyyin Mosque St., Sidi Bishr, Alexandria",Alexandria-Plut,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035278070,,"19 Al -Tadiyyin Mosque St., Sidi Bishr, Alexandria"
Praise be to the physical therapy,https://healtheg.com/ar/Item/1657/الحمد-للعلاج-الطبيعى,"Station of Water Station - Al -Zaydidi Village, Osim, Giza",Giza-Awsim,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01283540674,,"Station of Water Station - Al -Zaydidi Village, Osim, Giza"
Al -Safa,https://healtheg.com/ar/Item/1255/الصفا,"Emergency service, engineers, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,16181,,"Emergency service, engineers, Giza"
Al -Safa Medical Group,https://healtheg.com/ar/Item/3185/الصفا-ميديكال-جروب,"40 Iraq St., close to Mohsen Barakat, Mohandessin, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,+201065635333,,"40 Iraq St., close to Mohsen Barakat, Mohandessin, Giza"
Elite,https://healtheg.com/ar/Item/1257/الصفوة,"Hussein Abbas St., Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0232243743 - 01067502118,,"Hussein Abbas St., Faisal, Giza"
Doctor Medical Center,https://healtheg.com/ar/Item/1047/الطبيب-ميديكال-سنتر,"3, Doctor St.",Cairo-New Cairo,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0226161840 - +20226175241,,"3, Doctor St."
The capital for physical therapy,https://healtheg.com/ar/Item/1632/العاصمة-للعلاج-الطبيعى,"401 b, Faisal St., Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0235852889,,"401 b, Faisal St., Faisal, Giza"
Charitable Clinic,https://healtheg.com/ar/Item/1258/العيادة-الخيرية,"Youssef El Jundi St., Zefta, Gharbia",Western-Zefta,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0405718251,,"Youssef El Jundi St., Zefta, Gharbia"
Comprehensive Medical Clinic,https://healtheg.com/ar/Item/62/العيادة-الطبية-الشاملة,"27 Al -Rawda Castle, Manial, Cairo",Cairo-Manial,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0223639981,,"27 Al -Rawda Castle, Manial, Cairo"
